"AFFGEOID","TRACTCE","ST","STATE","ST_ABBR","STCNTY","COUNTY","FIPS","LOCATION","AREA_SQMI","E_TOTPOP","M_TOTPOP","E_HU","M_HU","E_HH","M_HH","E_POV","M_POV","E_UNEMP","M_UNEMP","E_PCI","M_PCI","E_NOHSDP","M_NOHSDP","E_AGE65","M_AGE65","E_AGE17","M_AGE17","E_DISABL","M_DISABL","E_SNGPNT","M_SNGPNT","E_MINRTY","M_MINRTY","E_LIMENG","M_LIMENG","E_MUNIT","M_MUNIT","E_MOBILE","M_MOBILE","E_CROWD","M_CROWD","E_NOVEH","M_NOVEH","E_GROUPQ","M_GROUPQ","EP_POV","MP_POV","EP_UNEMP","MP_UNEMP","EP_PCI","MP_PCI","EP_NOHSDP","MP_NOHSDP","EP_AGE65","MP_AGE65","EP_AGE17","MP_AGE17","EP_DISABL","MP_DISABL","EP_SNGPNT","MP_SNGPNT","EP_MINRTY","MP_MINRTY","EP_LIMENG","MP_LIMENG","EP_MUNIT","MP_MUNIT","EP_MOBILE","MP_MOBILE","EP_CROWD","MP_CROWD","EP_NOVEH","MP_NOVEH","EP_GROUPQ","MP_GROUPQ","EPL_POV","EPL_UNEMP","EPL_PCI","EPL_NOHSDP","SPL_THEME1","RPL_THEME1","EPL_AGE65","EPL_AGE17","EPL_DISABL","EPL_SNGPNT","SPL_THEME2","RPL_THEME2","EPL_MINRTY","EPL_LIMENG","SPL_THEME3","RPL_THEME3","EPL_MUNIT","EPL_MOBILE","EPL_CROWD","EPL_NOVEH","EPL_GROUPQ","SPL_THEME4","RPL_THEME4","SPL_THEMES","RPL_THEMES","F_POV","F_UNEMP","F_PCI","F_NOHSDP","F_THEME1","F_AGE65","F_AGE17","F_DISABL","F_SNGPNT","F_THEME2","F_MINRTY","F_LIMENG","F_THEME3","F_MUNIT","F_MOBILE","F_CROWD","F_NOVEH","F_GROUPQ","F_THEME4","F_TOTAL","E_UNINSUR","M_UNINSUR","EP_UNINSUR","MP_UNINSUR","E_DAYPOP","Shape","Shape.STArea..","Shape.STLength.."
"1400000US17031804102",804102,17," Illinois","IL",17031," Cook",17031804102,"Census Tract 8041.02, Cook County, Illinois",3.24630585,6621,298,2620,100,2492,110,171,126,261,110,65338,9089,215,135,1179,157,1551,167,371,124,84,60,1239,408.2,66,77.2,101,53,0,15,0,21.2,33,38,88,93,2.6,1.9,7.8,3.3,65338,9089,4.4,2.8,17.8,2.3,23.4,2.3,5.7,1.8,3.4,2.4,18.7,6.1,1,1.2,3.9,2,0,1,0,0.9,1.3,1.5,1.3,1.4,0.0622,0.3862,0.0353,0.1728,0.6565,0.1028,0.7712,0.5,0.0997,0.1343,1.5051,0.1978,0.3747,0.4529,0.8276,0.3747,0.4529,0,0,0.0942,0.7266,1.2737,0.1417,4.2629,0.0983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,96,2.3,1.5,14828,"(-88.07685463299305, 42.094660414162746)",0.000927507178631081,0.124635487523825
"1400000US17031804104",804104,17," Illinois","IL",17031," Cook",17031804104,"Census Tract 8041.04, Cook County, Illinois",1.12406377,5079,238,1859,88,1827,100,151,121,128,79,51661,12545,127,65,492,103,1312,99,343,91,75,41.1,1777,357.7,393,147.9,0,21.2,0,15,0,21.2,0,15,13,8,3,2.3,4.5,2.7,51661,12545,3.7,1.9,9.7,2.1,25.8,1.5,6.8,1.8,4.1,2.2,35,6.8,8,3,0,1.1,0,1.5,0,1.2,0,1.5,0.3,0.2,0.0795,0.1022,0.0742,0.1391,0.395,0.0379,0.2981,0.6776,0.1728,0.1907,1.3391,0.1346,0.5788,0.8157,1.3946,0.7471,0,0,0,0,0.5619,0.5619,0.0349,3.6905,0.0543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259,140,5.1,2.7,2757,"(-88.10913464027048, 42.10470904448104)",0.000318377531623061,0.080772481848652
"1400000US17031804105",804105,17," Illinois","IL",17031," Cook",17031804105,"Census Tract 8041.05, Cook County, Illinois",4.93546966,4320,220,1431,70,1431,70,101,85,126,57,45407,4281,91,71,496,60,1084,79,193,88,75,38.2,988,304.1,75,67,0,15.6,0,11,0,15.6,0,11,0,11,2.3,2,4.9,2.2,45407,4281,3.2,2.5,11.5,1.2,25.1,1.3,4.5,2,5.2,2.7,22.9,6.9,1.8,1.6,0,1.1,0,1.9,0,1.1,0,1.9,0,0.3,0.0526,0.1327,0.1114,0.1179,0.4146,0.0421,0.3997,0.6317,0.0506,0.2808,1.3628,0.1417,0.442,0.5554,0.9974,0.5058,0,0,0,0,0,0,0,2.7749,0.0112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,67,2.4,1.6,5520,"(-88.09636113303758, 42.079987037126514)",0.00139803837299245,0.21674692023913
"1400000US17031804106",804106,17," Illinois","IL",17031," Cook",17031804106,"Census Tract 8041.06, Cook County, Illinois",1.53916744,7009,354,2716,81,2649,108,246,144,346,144,47313,5247,163,111,907,97,1677,153,513,162,106,75.6,2101,484,248,129.4,88,61.8,0,15,0,21.2,31,34,0,15,3.5,2.1,8.5,3.3,47313,5247,3.3,2.2,12.9,1.3,23.9,1.8,7.3,2.3,4,2.8,30,6.7,3.7,1.9,3.2,2.3,0,1,0,0.8,1.2,1.3,0,0.2,0.0994,0.4478,0.0996,0.1208,0.7675,0.1362,0.4875,0.5429,0.2176,0.1827,1.4308,0.1654,0.5295,0.6923,1.2218,0.6365,0.4228,0,0,0.0837,0,0.5064,0.0311,3.9265,0.0719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,504,157,7.2,2.1,5278,"(-88.05003785377595, 42.08793300867169)",0.000434346988572065,0.097112481586946
"1400000US17031804108",804108,17," Illinois","IL",17031," Cook",17031804108,"Census Tract 8041.08, Cook County, Illinois",0.4687008,3815,279,2257,225,2017,181,293,133,73,44,40485,4781,39,45,103,37,602,153,220,100,108,77.8,2429,364.8,246,140.7,1599,230.5,0,11,50,56.1,152,87,0,11,7.7,3.5,2.8,1.6,40485,4781,1.4,1.6,2.7,0.9,15.8,3.8,5.8,2.6,5.4,3.8,63.7,8.4,7,4,70.8,7.4,0,1.2,2.5,2.8,7.5,4.1,0,0.3,0.2974,0.0253,0.1609,0.0362,0.5199,0.0633,0.0179,0.0952,0.108,0.2891,0.5103,0.0311,0.7516,0.7958,1.5474,0.8349,0.9718,0,0.6304,0.5276,0,2.1298,0.4282,4.7074,0.1503,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,426,198,11.2,5.1,1695,"(-88.05080796115963, 42.074957175581176)",0.000133575671963538,0.0580109248939783
"1400000US17031804109",804109,17," Illinois","IL",17031," Cook",17031804109,"Census Tract 8041.09, Cook County, Illinois",0.91413625,2992,241,1201,61,1191,62,133,55,58,57,44827,5060,187,149,768,172,548,85,310,169,33,31.8,673,358.9,56,62.4,221,78.1,0,11,0,15.6,101,59,217,168,4.6,1.9,4,3.8,44827,5060,8,6,25.7,5.4,18.3,2.4,10.8,5.5,2.8,2.7,22.5,11.9,1.9,2.1,18.4,6.4,0,2.3,0,1.3,8.5,5,7.3,5.6,0.1494,0.0712,0.1169,0.3885,0.7259,0.122,0.9683,0.1724,0.5093,0.1022,1.7522,0.3176,0.4369,0.5619,0.9987,0.5067,0.7821,0,0,0.5712,0.9388,2.292,0.5026,5.7688,0.2861,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,2,94,78,3.3,2.7,1204,"(-88.03673496339907, 42.07548691392438)",0.00025696331730486,0.063471141232018
"1400000US17031804201",804201,17," Illinois","IL",17031," Cook",17031804201,"Census Tract 8042.01, Cook County, Illinois",29.62607249,7989,356,3001,173,2729,181,566,483,317,151,80624,14708,180,84,1672,216,1832,178,559,165,116,83.4,2332,667,118,91,88,49.4,0,15,0,21.2,51,49,166,95,7.2,6.2,8.2,3.7,80624,14708,3.1,1.4,20.9,2.4,22.9,2,7.1,2.1,4.3,3,29.2,8.2,1.5,1.2,2.9,1.6,0,0.9,0,0.8,1.9,1.8,2.1,1.2,0.274,0.4231,0.0112,0.1119,0.8202,0.1496,0.8833,0.4651,0.199,0.1994,1.7468,0.3151,0.5202,0.5218,1.042,0.5263,0.4074,0,0,0.1417,0.7821,1.3311,0.1558,4.9401,0.1779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,115,2.8,1.5,17098,"(-88.18879186349353, 42.111237375433944)",0.00861754046607549,0.374638159278252
"1400000US17031804202",804202,17," Illinois","IL",17031," Cook",17031804202,"Census Tract 8042.02, Cook County, Illinois",5.213377,7838,356,2882,168,2696,176,224,150,318,161,61322,8346,229,114,1111,155,1935,146,407,141,117,71.1,1769,569.9,431,184.3,158,80.1,0,15,42,33.5,172,87,0,15,2.9,1.9,7.5,3.7,61322,8346,4.3,2.1,14.2,1.7,24.7,1.5,5.2,1.8,4.3,2.6,22.6,7.2,5.8,2.5,5.5,2.8,0,0.9,1.6,1.2,6.4,3.3,0,0.2,0.0756,0.3615,0.0424,0.1673,0.6469,0.0983,0.5673,0.6016,0.0747,0.2103,1.4538,0.1728,0.4385,0.7667,1.2051,0.6276,0.5151,0,0.4949,0.474,0,1.484,0.2067,4.7898,0.1615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,413,152,5.3,1.9,10257,"(-88.13062388851789, 42.10786376653416)",0.00153628812031903,0.20952149304577
"1400000US17031804305",804305,17," Illinois","IL",17031," Cook",17031804305,"Census Tract 8043.05, Cook County, Illinois",1.13093832,7962,539,2540,103,2453,115,369,224,404,147,25480,2305,755,216,574,129,1981,261,608,145,187,100.6,4047,787.4,606,241.1,11,23.4,41,58,178,100.5,73,79,4,3,4.7,2.9,8.1,3.2,25480,2305,14.7,4,7.2,1.7,24.9,2.8,7.6,1.8,7.6,4.1,50.8,9.3,8.2,3.2,0.4,0.9,1.6,2.3,7.3,4.1,3,3.2,0.1,0,0.1532,0.4125,0.5363,0.6699,1.7719,0.4441,0.1551,0.6176,0.2442,0.4606,1.4776,0.183,0.6846,0.8173,1.5019,0.808,0.2061,0.7407,0.8856,0.2397,0.4279,2.5,0.6058,7.2514,0.5199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1508,699,18.9,8.1,4016,"(-88.16256455727655, 42.03367480523165)",0.000327141388327938,0.105726838675409
"1400000US17031804306",804306,17," Illinois","IL",17031," Cook",17031804306,"Census Tract 8043.06, Cook County, Illinois",0.97922687,6138,392,1803,76,1738,98,308,204,349,131,22114,2759,867,257,604,71,1754,182,532,116,121,74.8,3012,533.6,307,150.6,0,21.2,0,15,78,59.9,26,24,0,15,5,3.3,10.5,4,22114,2759,23.3,6.2,9.8,1.2,28.6,2.3,8.7,1.9,7,4.3,49.1,8.1,5.5,2.6,0,1.2,0,1.5,4.5,3.4,1.5,1.4,0,0.2,0.1686,0.5968,0.6705,0.8362,2.2721,0.5986,0.3029,0.8144,0.3362,0.4125,1.866,0.3913,0.6728,0.7577,1.4304,0.7705,0,0,0.7875,0.1077,0,0.8952,0.0708,6.4638,0.3992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,734,282,12,4.4,4086,"(-88.17400898449375, 42.02198397764333)",0.000276455874785686,0.07742116493808
